Etiquetas de fila;AMAZONAS;ANTIOQUIA;ARAUCA;ATLÁNTICO;BOLÍVAR;BOYACÁ;CALDAS;CAQUETÁ;CASANARE;CAUCA;CESAR;CHOCÓ;CÓRDOBA;CUNDINAMARCA;Guainía;GUAJIRA;GUAVIARE;HUILA;MAGDALENA;META;NARIÑO;NORTE DE SANTANDER;PUTUMAYO;QUINDÍO;RISARALDA;SAN ANDRÉS;SANTANDER;SUCRE;TOLIMA;VALLE;Vaupés;VICHADA;Total general
17-may-2011;;22;;6;;2;1;2;1;;3;;;9;;;;4;;2;3;;1;;;;1;;1;15;;;73
17-nov-2011;;23;;1;;;;1;;2;;2;;14;;1;;2;;;5;2;;;;;;;1;14;;;68
17-oct-2011;;19;;3;;;;;;3;1;;;3;;;1;4;1;1;1;2;;1;2;;;;;10;;;52
17-sep-2011;;14;;2;2;;;;;2;;;;4;;;;3;1;1;6;1;;1;;;;1;;13;;;51
18-apr-2011;;16;;5;;;;;;3;2;;;9;;;;3;;2;1;;;;;;;;1;12;;;54
18-aug-2011;;21;1;2;;;;;;4;2;;;2;;;;1;;3;3;1;;;1;1;3;1;;9;;;55
18-dec-2011;;11;;;3;;;;;2;;;;;;;1;5;;1;;1;;;1;1;1;;1;6;;;34
18-feb-2011;;18;;8;1;1;;2;;;1;1;;4;;;;2;;2;4;;1;1;2;;1;;2;9;;;60
18-jan-2011;1;34;;1;1;1;;;;1;1;;;5;;;;2;1;;3;3;;;1;;2;;1;11;;;69
18-jul-2011;;26;;2;1;;1;;1;1;3;;;7;;;;4;;;2;1;1;;2;;;;;11;;;63
18-jun-2011;;15;;2;3;;;;;2;1;;;3;;;;2;1;;3;;;;;;1;;1;5;;;39
18-mar-2011;;12;;4;4;;;2;;;1;;;7;;;;1;;2;;2;2;;1;;1;1;3;10;;;53
18-may-2011;;11;1;4;1;;;;1;2;;;;4;;;;;3;4;7;1;;;;;3;3;2;11;;;58
18-nov-2011;;21;;1;;;;1;;7;1;;;3;;;;5;;1;2;4;;2;2;;;;;8;;;58
18-oct-2011;;13;;;;;;2;;4;;;;6;;1;;2;;1;1;1;;;;;1;;1;8;;;41
18-sep-2011;;8;;1;2;2;;;;2;;;2;2;;;;1;3;1;1;2;1;;;;2;2;;15;;;47
19-apr-2011;;10;;7;3;;;;1;3;3;;;5;;1;;4;1;2;5;1;;;1;;1;;;13;;;61
19-aug-2011;;26;;2;1;;;;;1;;;;2;;;;2;1;3;5;2;;;1;;;;1;12;;;59
19-dec-2011;;10;;1;1;;;1;;1;;;;4;;;;1;;;;1;;;;;2;;2;5;;;29
19-feb-2011;;12;1;4;1;;;;1;3;1;;;6;;;;2;;;4;2;;;2;;2;2;3;16;;;62
19-jan-2011;;22;;2;1;;2;;;1;1;;;8;;1;;5;;4;2;1;;;1;;1;;3;14;;;69
